time,date,Source,News_Headlines
11.13 am,2013-09-24,CNBC-TV18,"Buy TCS on every decline, says Parag Thakkar"
12.34 pm,2013-09-25,Forbes India,TCS vs Infosys: How the IT big guns will fare
8.30 am,2013-09-26,CNBC-TV18,6 stocks that should do well today
4.53 pm,2013-09-27,CNBC-TV18,TCS may move to Rs 2200: Gopi Suvanam
2.04 pm,2013-09-28,CNBC-TV18,TCS may touch Rs 2330: Navneet Daga
3.11 pm,2013-09-29,CNBC-TV18,Tirthankar Patnaik overweight on IT space
9.01 am,2013-09-30,Moneycontrol.com,TCS joins global think tanks to envision future of jobs in 2050
11.08 am,2013-10-01,CNBC-TV18,"Buy Wipro, says Amit Gupta"
8.30 am,2013-10-02,Moneycontrol.com,TCS launches new digital software & solutions group
1.03 pm,2013-10-03,Moneycontrol.com,TCS introduces new software assurance solution co-developed with Nissan
12.50 pm,2013-10-04,Moneycontrol.com,"Buy Infosys; hold TCS, recommends Ventura"
11.24 am,2013-10-05,CNBC-TV18,"Mehraboon upbeat on HZL, Emami; says sell Asian Paints"
11.03 am,2013-10-06,CNBC-TV18,Remain invested in IT space: Mehraboon Irani
3.03 pm,2013-10-07,CNBC-TV18,"Expect TCS to touch Rs 2350, says Kunal Bothra"
11.03 am,2013-10-08,CNBC-TV18,"Sell TCS 2250 straddle, says Amit Trivedi"
8.59 am,2013-10-09,Moneycontrol.com,TCS announces partnership with Microsoft Business Solutions 
1.29 pm,2013-10-10,CNBC-TV18,"Book profits in Tech Mahindra, TCS: Prakash Diwan"
12.26 pm,2013-10-11,CNBC-TV18,"Prefer TCS, Infosys: Sudarshan Sukhani"
9.22 am,2013-10-12,Moneycontrol.com,TCS ranked No. 1 manufacturing industry IT service provider in Europe
6.09 pm,2013-10-13,PTI,Infosys to set up SEZ in Indore with Rs 400 cr investment
4.51 pm,2013-10-14,CNBC-TV18,Sandeep Muthangi cautious on TCS
2.15 pm,2013-10-15,CNBC-TV18,"Buy TCS, Godrej Consumer, HCL Infosystems: Paras Bothra"
11.13 am,2013-10-16,CNBC-TV18,"Buy TCS, advises Chandan Taparia"
10.52 am,2013-10-17,Moneycontrol.com,Diageo selects TCS as a strategic partner
8.25 am,2013-10-18,Moneycontrol.com,Super Six chart picks for February 20
4.45 pm,2013-10-19,CNBC-TV18,"Prefer TCS, Infosys, Tech Mahindra: Sudarshan Sukhani"
2.49 pm,2013-10-20,CNBC-TV18,"Buy TCS, says Kawaljeet Saluja"
10.32 am,2013-10-21,CNBC-TV18,Sudarshan Sukhani bullish on TCS
6.35 pm,2013-10-22,Moneycontrol.com,Infosys strikes cautious note on discretionary spends
2.11 pm,2013-10-23,CNBC-TV18,Sell TCS 2350 call: Amit Trivedi
11.39 am,2013-10-24,CNBC-TV18,Buy TCS 2150 call: VK Sharma
8.22 am,2013-10-25,CNBC-TV18,Super Six stocks you can bet on February 14
2.25 pm,2013-10-26,Moneycontrol.com,TCS to beat Nasscom guidance of 13-15% growth for FY15
3.04 pm,2013-10-27,Moneycontrol.com,Accumulate TCS; target of Rs 2560: P Lilladher
12.55 pm,2013-10-28,CNBC-TV18,Persistent launches products-focused business unit
11.58 am,2013-10-29,CNBC-TV18,Growth pangs? How to trade Infosys post its big correction
9.13 am,2013-10-30,CNBC-TV18,"Bull's Eye: Buy SAIL, Tata Coffee, RComm, Century Textiles"
9.12 am,2013-10-31,CNBC-TV18,Super Six chart picks for today
9.06 pm,2013-11-01,PTI,TCS inks pact with Garuda Indonesia Airlines
4.54 pm,2013-11-02,Moneycontrol.com,Garuda Indonesia Airlines goes live with TCS SWIFT MRO Solution
4.48 pm,2013-11-03,CNBC-TV18,"Hold TCS, advises Deven Choksey"
4.45 pm,2013-11-04,CNBC-TV18,"Buy TCS, says Ankur Rudra"
4.42 pm,2013-11-05,CNBC-TV18,"Buy TCS, says Phani Sekhar"
1.40 pm,2013-11-06,Moneycontrol.com,Buy TCS; target of Rs 2470: Angel Broking
9.00 am,2013-11-07,CNBC-TV18,Ten 10 stocks that should be on your radar 
9.25 pm,2013-11-08,CNBC-TV18,"TCS follows Infosys; lowers Q4 margins, revenue estimates"
11.08 am,2013-11-09,CNBC-TV18,"Prefer TCS, Infosys, HCL Tech on dips: Parag Thakkar"
12.15 pm,2013-11-10,CNBC-TV18,"Prefer TCS, Infosys, HCL Tech: Manishi Raychaudhuri"
12.01 pm,2013-11-11,CNBC-TV18,TCS may touch Rs 2400: Ankur Rudra
11.27 am,2013-11-12,CNBC-TV18,"Buy HCL Technologies, TCS on dips: Ankur Rudra"
11.06 am,2013-11-13,CNBC-TV18,"Sell TCS, advises Gopi Suvanam"
8.23 am,2013-11-14,CNBC-TV18,Super six stocks ideas to liven up your trade
4.49 pm,2013-11-15,CNBC-TV18,SP Tulsian bullish on real estate space
3.33 pm,2013-11-16,CNBC-TV18,"Wipro, Tech Mah, HCL Q4 to see 3% $ revenue growth: Nomura"
10.09 am,2013-11-17,Moneycontrol.com,"Tata Consultancy Services' FY14 results on April 16, 2014"
10.49 am,2013-11-18,CNBC-TV18,Taher Badshah positive on IT space
8.39 am,2013-11-19,Moneycontrol.com,Tata Consultancy Services adopts IFRS 9
1.05 pm,2013-11-20,CNBC-TV18,Buy IT stocks on correction: Dhananjay Sinha
10.43 am,2013-11-21,CNBC-TV18,"Buy TCS, says Sudarshan Sukhani"
5.31 pm,2013-11-22,CNBC-TV18,"Prefer HCL Tech, TCS: Pramod Gubbi"
2.32 pm,2013-11-23,CNBC-TV18,IT stocks may underperform: Deven Choksey
2.28 pm,2013-11-24,PTI,Cargill to outsource IT infra operations to TCS
11.15 am,2013-11-25,CNBC-TV18,Ambit questions Corp governance at Infosys; big 3 pass test
11.13 am,2013-11-26,CNBC-TV18,"Buy TCS, HCL Tech: Ankur Rudra"
1.54 pm,2013-11-27,CNBC-TV18,March quarter will be stronger for us than Dec: Mindtree
10.30 pm,2013-11-28,CNBC-TV18,Capgemini to budget a growth of 14-15% in India
1.39 pm,2013-11-29,CNBC-TV18,Gautam Chhaochharia overweight on IT services space
12.29 pm,2013-11-30,Moneycontrol.com,"TCS receives multi-million, multi-year order from GDF Suez"
8.19 pm,2013-12-01,PTI,Brand Finance puts TCS as fastest growing IT svcs brand
5.08 pm,2013-12-02,CNBC-TV18,Sanjay Dutt underweight on IT sector
7.05 pm,2013-12-03,PTI,TCS ranked No 1 employer in Europe
8.26 am,2013-12-04,CNBC-TV18,Super Six: Top chart picks for today
3.17 pm,2013-12-05,CNBC-TV18,"Buy TCS, advises Sudarshan Sukhani"
6.00 pm,2013-12-06,Moneycontrol.com,"TCS Q4 net up 0.5% QoQ, to hire 55,000 employees in FY15"
5.14 pm,2013-12-07,Moneycontrol.com,Tata Consultancy Services: Board recommends final dividend
4.17 pm,2013-12-08,CNBC-TV18,"Buy TCS on declines, says Mayuresh Joshi"
3.17 pm,2013-12-09,CNBC-TV18,"Buy Infosys, TCS: Sudarshan Sukhani"
9.56 am,2013-12-10,CNBC-TV18,Checkout: Stocks that should be on your radar for April 16
8.21 am,2013-12-11,CNBC-TV18,Super Six stocks you can bet on April 16
10.14 pm,2013-12-12,CNBC-TV18,Infy revenue will continue to be broad based: Srinivas
10.04 pm,2013-12-13,CNBC-TV18,How IT's big boys are likely to fare in Q4
4.30 pm,2013-12-14,Moneycontrol.com,TCS Q4 PAT may rise to Rs 5338.7cr: Dolat Capital
4.27 pm,2013-12-15,Moneycontrol.com,TCS Jan-Mar qtr net may dip 1.4% at Rs 5238cr: ICICIdirect
4.19 pm,2013-12-16,Moneycontrol.com,TCS Q4 net seen up at Rs 5350.1cr: Sharekhan
4.10 pm,2013-12-17,CNBC-TV18,"TCS unlikely to surprise, Q4 PAT seen down 3% to Rs 5175 cr"
3.34 pm,2013-12-18,CNBC-TV18,"Buy TCS, Infosys: Sudarshan Sukhani"
3.12 pm,2013-12-19,CNBC-TV18,"Go long in Bajaj Auto, TCS, Indiabulls Real: SP Tulsian"
1.15 pm,2013-12-20,CNBC-TV18,Operating margins to remain in 15-17% range: CMC
10.55 am,2013-12-21,Moneycontrol.com,"Infosys Q4: No big upside seen in FY15 op margin, says CEO"
8.26 pm,2013-12-22,PTI,CMC's Q4 profit rises 45.8% to Rs 89.43 crore
2.15 pm,2013-12-23,Moneycontrol.com,Investors expect seasonally muted quarter from Infosys
1.00 pm,2013-12-24,Moneycontrol.com,TCS Q4 net seen up at Rs 5354.8cr: Motilal Oswal
4.00 pm,2013-12-25,CNBC-TV18,Prefer TCS for long term: Pankaj Jain
3.21 pm,2013-12-26,CNBC-TV18,Mitsubishi deal to add $300m to revenue in FY15: TCS
12.41 pm,2013-12-27,PTI,"TCS, Mitsubishi sign agreement; to merge IT units"
11.58 am,2013-12-28,CNBC-TV18,"TCS may test Rs 2400, says Kawaljeet Saluja"
10.57 am,2013-12-29,CNBC-TV18,"Avoid IT stocks, says Sudarshan Sukhani"
10.05 am,2013-12-30,Reuters,"TCS, Mitsubishi to form software services company"
9.01 am,2013-12-31,CNBC-TV18,"See IT growth at 13-14% in FY15; bet on Infosys,TCS: Kotak"
8.46 am,2014-01-01,Moneycontrol.com,TCS signs definitive agreements with Mitsubishi Corporation
12.56 pm,2014-01-02,Moneycontrol.com,Accumulate TCS; target of Rs 2410: Dolat Capital
4.59 pm,2014-01-03,CNBC-TV18,"See upside in TCS, HCL Tech: Gopi Suvanam"
4.00 pm,2014-01-04,CNBC-TV18,"Prefer HCL Tech, TCS: Harit Shah"
3.45 pm,2014-01-05,CNBC-TV18,"HCL Tech, TCS preferred picks in IT space: Nirmal Bang"
1.58 pm,2014-01-06,CNBC-TV18,"Top 10 stocks: Focus on RIL, HCL, Bajaj Auto, USL"
11.04 am,2014-01-07,CNBC-TV18,Infosys may emerge as IT sector dark horse ahead: JPMorgan
10.12 am,2014-01-08,CNBC-TV18,Ambit expects HCL Tech to lead sector; sees 15% upside
10.08 am,2014-01-09,CNBC-TV18,"Chandra says satisfied with TCS' FY14, FY15 to be better"
10.00 am,2014-01-10,CNBC-TV18,TCS expects reasonably stable regime going forward 
9.52 am,2014-01-11,Moneycontrol.com,TCS slips post Q4 nos: Will brokerages re-rate it now?
11.08 pm,2014-01-12,Moneycontrol.com,Tata Consultancy Services: Outcome of board meeting
9.35 pm,2014-01-13,CNBC-TV18,FY15 to be better than FY14; currency not a worry: TCS
6.07 pm,2014-01-14,CNBC-TV18,"TCS Q4: Stock won't correct; FY15 guidance key, say experts"
3.32 pm,2014-01-15,CNBC-TV18,"Short TCS, says Sahil Kapoor"
6.27 pm,2014-01-16,CNBC-TV18,"Exit Infosys, prefer Tech Mahindra, TCS: Rajesh Agarwal"
11.53 am,2014-01-17,CNBC-TV18,Good time to buy IT stocks: Vibhav Kapoor
5.10 pm,2014-01-18,CNBC-TV18,"Buy Infosys, TCS, HCL Tech, Wipro: Rahul Arora"
5.22 pm,2014-01-19,CNBC-TV18,"Prefer TCS, HCL Tech, CMC, Persistent: Jagdish Malkani"
11.11 am,2014-01-20,CNBC-TV18,"Avoid TCS, Infosys: Sudarshan Sukhani"
12.58 pm,2014-01-21,CNBC-TV18,"PSU banks will outperform, overweight on tech: Awasthi"
10.54 am,2014-01-22,IBNLive.com,Leaving the dream: Infosys battles worker exodus
1.53 pm,2014-01-23,Moneycontrol.com,"TCS may test Rs 2080-2100, says Ashish Chaturmohta"
11.15 am,2014-01-24,CNBC-TV18,Parag Thakkar positive on IT space
10.43 am,2014-01-25,CNBC-TV18,"Buy IT stocks, says Sudarshan Sukhani"
8.17 am,2014-01-26,CNBC-TV18,Super Six stocks you can bet on May 02
10.09 am,2014-01-27,Moneycontrol.com,Storage Networking Industry Association selects TCS for Cloud Data Management Interface conformance Testing
12.06 pm,2014-01-28,Moneycontrol.com,Buy TCS; target of Rs 2440: Firstcall Research
3.26 pm,2014-01-29,CNBC-TV18,"Buy TCS 2250 Calls, says Amit Trivedi"
10.02 am,2014-01-30,Moneycontrol.com,TCS wins prestigious association of management consulting firms award
11.32 am,2014-01-31,Moneycontrol.com,Hold TCS; target of Rs 2375: AnandRathi
4.14 pm,2014-02-01,Moneycontrol.com,Emkay reviews 5 largecap stocks post Q4FY14 results
11.35 am,2014-02-02,Moneycontrol.com,"Good, bad, ugly? How brokerages see TCS-Mitsubishi pact"
7.25 pm,2014-02-03,Moneycontrol.com,Accumulate TCS; target of Rs 2410: Angel Broking
3.55 pm,2014-02-04,Moneycontrol.com,REAAL NV selects TCS as its strategic IT partner
10.54 am,2014-02-05,CNBC-TV18,"Buy TCS 2300 Call, says Amit Gupta"
2.47 pm,2014-02-06,CNBC-TV18,"Sell Havells, HDIL; buy Infosys: Sukhani"
12.28 pm,2014-02-07,CNBC-TV18,"Buy Infosys, TCS: Sudarshan Sukhani"
11.56 am,2014-02-08,CNBC-TV18,"Buy TCS 2300 Call, advises Amit Gupta"
5.00 pm,2014-02-09,CNBC-TV18,"Prefer Infosys over TCS, says Dilip Bhat"
3.28 pm,2014-02-10,CNBC-TV18,"Buy Infosys, HCL Tech, TCS: Sandip Agarwal"
1.54 pm,2014-02-11,Moneycontrol.com,Motilal Oswal neutral on TCS; target of Rs 2200
1.02 pm,2014-02-12,CNBC-TV18,"How Edelweiss views TCS growth prospects, Infosys CEO appt"
2.26 pm,2014-02-13,PTI,"Tata group firms line up Rs 65,000 cr capex this fiscal"
5.31 pm,2014-02-14,CNBC-TV18,Sikka to chart own course sans founder interference: Murthy
11.02 am,2014-02-15,Moneycontrol.com,TCS expands golT program to 10 North American cities
7.37 pm,2014-02-16,PTI,"Europe driving growth; media,life sciences growing faster'"
11.23 am,2014-02-17,CNBC-TV18,"Prefer Wipro, HCL Tech, TCS over Infosys: Sukhani"
9.57 pm,2014-02-18,PTI,TCS hires more from Tier-I & II cities; logs into Facebook
5.36 pm,2014-02-19,CNBC-TV18,"Prefer HCL Technologies, TCS, Tech Mahindra: Tulsian"
3.00 pm,2014-02-20,CNBC-TV18,"Go long in Infosys, Wipro, HCL Tech, TCS: Sukhani"
12.07 pm,2014-02-21,Moneycontrol.com,Motilal Oswal neutral on TCS
11.36 am,2014-02-22,Moneycontrol.com,Accumulate TCS; target of Rs 2300: Emkay
3.56 pm,2014-02-23,PTI,"RIL rejigs investment portfolio; focus on bonds, deposits"
11.21 am,2014-02-24,CNBC-TV18,"Hold TCS, advises Sudarshan Sukhani"
1.28 pm,2014-02-25,CNBC-TV18,"Prefer TCS, says Dipan Mehta"
10.26 am,2014-02-26,CNBC-TV18,Bullish on Infosys; TCS mgmt commentary key: Kotak Equities
1.41 pm,2014-02-27,CNBC-TV18,"Buy TCS 2500 Call, sell 2600 Call: Bhavin Desai"
1.10 pm,2014-02-28,CNBC-TV18,Not worried by Infosys' short-term volatility: Quant
12.49 pm,2014-03-01,CNBC-TV18,"IT, pharma sectors will underperform: S Naganath"
10.23 am,2014-03-02,CNBC-TV18,"Buy TCS, says Sudarshan Sukhani"
9.56 pm,2014-03-03,Moneycontrol.com,"Tata Consultancy Services' Q1 results on July 17, 2014"
9.51 am,2014-03-04,CNBC-TV18,"Buy TCS, advises Sudarshan Sukhani"
10.25 am,2014-03-05,CNBC-TV18,"Pick Tech Mahindra, TCS, Infosys, HCL Tech: Anish Damania"
3.15 pm,2014-03-06,CNBC-TV18,Buy Tata Consultancy Services: Manas Jaiswal
2.01 pm,2014-03-07,CNBC-TV18,"Buy TCS 2500 Call, sell 2600 Call: Bhavin Desai"
7.16 am,2014-03-08,Moneycontrol.com,IT to see strong revenue growth in Q1: Which stocks to buy?
12.44 pm,2014-03-09,CNBC-TV18,"Prefer Infosys, HCL Tech, TCS: Tirthankar Patnaik"
4.23 pm,2014-03-10,CNBC-TV18,"Buy TCS on dips, says Kunal Saraogi"
3.49 pm,2014-03-11,CNBC-TV18,Tata Sons eyes better FY15 than FY14; plans Rs 65Kcr capex
4.48 pm,2014-03-12,CNBC-TV18,Taher Badshah overweight on IT space
8.39 pm,2014-03-13,CNBC-TV18,Here are the key takeaways from TCS AGM on Friday
4.35 pm,2014-03-14,CNBC-TV18,TCS best bet in IT space: Mehraboon Irani
1.52 pm,2014-03-15,CNBC-TV18,"Enter Infosys, may rise by 6-7%, says Mithil Pradhan"
11.47 am,2014-03-16,CNBC-TV18,Checkout: HDFC Securities stock picks going ahead
11.03 am,2014-03-17,CNBC-TV18,"Buy TCS, says Taher Badshah"
11.00 am,2014-03-18,CNBC-TV18,TCS may move to Rs 2800: Vibhor Singhal
10.34 am,2014-03-19,Moneycontrol.com,10 brokerages advise how to trade TCS post Q1; stock up 4%
10.21 am,2014-03-20,CNBC-TV18,Expect volumes to pick; see stable realisations: TCS Mgmt
9.39 am,2014-03-21,CNBC-TV18,TCS to see 17-18% USD revenue growth in FY15: Phillip Cap
9.32 am,2014-03-22,Moneycontrol.com,TCS: Updates on scheme of amalgamation
9.30 am,2014-03-23,Moneycontrol.com,TCS declares interim dividend & special dividend
8.24 am,2014-03-24,CNBC-TV18,Varied verticals aided Q1; focus on digital: Chandrasekaran
11.59 pm,2014-03-25,Moneycontrol.com,Tata Consultancy Services' fixes record date for interim dividend
6.10 pm,2014-03-26,CNBC-TV18,TCS beats street but brokers uneasy with current valuations
5.59 pm,2014-03-27,Moneycontrol.com,"TCS Q1 beats estimates, net at Rs 5057cr, $ revenue up 5.5%"
4.25 pm,2014-03-28,CNBC-TV18,"Stay invested in TCS, says Rajesh Agarwal"
4.14 pm,2014-03-29,CNBC-TV18,Tata Group stocks look attractive now: Gopi Suvanam
3.37 pm,2014-03-30,CNBC-TV18,Confused which stock to buy now? Ask experts
11.57 am,2014-03-31,CNBC-TV18,"Buy TCS, advises Sudarshan Sukhani"
7.41 am,2014-04-01,CNBC-TV18,"TCS Q1: Analysts see 11% fall in PAT, 5% $ revenue growth"
1.14 pm,2014-04-02,Moneycontrol.com,TCS Q1 PAT may fall 7.9% at Rs 4878.3cr: Emkay
1.11 pm,2014-04-03,Moneycontrol.com,TCS Q1 net seen down 4.7% at Rs 5056.8cr: P Lilladher
1.07 pm,2014-04-04,Moneycontrol.com,TCS Q1 PAT may dip 6.6% at Rs 3992.2cr: Motilal Oswal
10.13 am,2014-04-05,CNBC-TV18,Quant analyses whether Wipro is 'buy or not' post Q1 nos 
6.48 pm,2014-04-06,Moneycontrol.com,Motilal Oswal neutral on TCS; target Rs 2600
12.29 pm,2014-04-07,Moneycontrol.com,Arihant capital neutral on TCS
3.08 pm,2014-04-08,CNBC-TV18,"Pick TCS, HPCL, says Kunal Bothra"
3.08 pm,2014-04-09,Moneycontrol.com,Reduce TCS; target of Rs 2353: KRChoksey
2.49 pm,2014-04-10,CNBC-TV18,"Buy IndusInd Bank, Lakshmi Machine Works: Vishal Jajoo"
11.37 am,2014-04-11,CNBC-TV18,"Prefer HDFC Bank, ICICI Bank, TCS, Lupin: Jeff Chowdhry"
4.55 pm,2014-04-12,CNBC-TV18,"Remain invested in TCS, says Dipan Mehta"
12.42 pm,2014-04-13,Moneycontrol.com,Buy TCS; target of Rs 2760: Angel Broking
2.29 pm,2014-04-14,PTI,FIIs up stake in RIL to 7-year high at about 20%
3.53 pm,2014-04-15,Moneycontrol.com,Buy TCS; target of Rs 2700: ICICIdirect
3.34 pm,2014-04-16,Moneycontrol.com,Buy TCS; target of Rs 2680: PLilladher
5.02 pm,2014-04-17,Moneycontrol.com,Accumulate TCS; target of Rs 2600: Emkay
4.18 pm,2014-04-18,Moneycontrol.com,Accumulate TCS; target of Rs 2519: Kotak Securities
4.18 pm,2014-04-19,Moneycontrol.com,Accumulate TCS; target of Rs 2770: Dolat Capital
4.06 pm,2014-04-20,PTI,Wipro inks $1.1bn deal with ATCO; acquires IT arm for $195m
2.22 pm,2014-04-21,Moneycontrol.com,Buy TCS; target of Rs 2684: Sharekhan
2.12 pm,2014-04-22,CNBC-TV18,"Buy TCS, hold Wipro: Sandip Agarwal"
12.26 pm,2014-04-23,Moneycontrol.com,Buy TCS; target of Rs 2600: Religare Capital
12.25 pm,2014-04-24,CNBC-TV18,"Infosys good bet, says Pritesh Mehta"
4.48 pm,2014-04-25,CNBC-TV18,Rajesh Kothari positive on largecap IT space
11.39 am,2014-04-26,PTI,5 Indian firms among Forbes' most innovative companies
4.07 pm,2014-04-27,PTI,Diligenta bags open-book deal from Friends Life
12.29 pm,2014-04-28,Moneycontrol.com,Diligenta secures a landmark open-book deal for Friends Provident International
2.03 pm,2014-04-29,CNBC-TV18,"Buy TCS 2550 Call, says Rahul Shah"
8.39 am,2014-04-30,Moneycontrol.com,Avis Car Rental and Budget Car Rental partners with TCS
2.07 pm,2014-05-01,CNBC-TV18,"Pick TCS, bullish on Firstsource: Krishna Kumar Karwa"
4.33 pm,2014-05-02,CNBC-TV18,"Here's what experts suggest for TCS, Jubilant Foodworks now"
3.33 pm,2014-05-03,CNBC-TV18,"Hold TCS, says Hemen Kapadia"
3.30 pm,2014-05-04,CNBC-TV18,Hold TCS; target Rs 3000: Rajesh Agarwal
2.00 pm,2014-05-05,CNBC-TV18,"Buy Balrampur Chini, Dish TV, Rallis, TCS: Akshata Deshmukh"
12.15 pm,2014-05-06,CNBC-TV18,"Buy TCS, HCL Tech on correction: Ambareesh Baliga"
10.11 am,2014-05-07,CNBC-TV18,"Buy TCS, Infosys: Sudarshan Sukhani"
8.48 am,2014-05-08,CNBC-TV18,"Bull's Eye: Buy TCS, Power Grid, Dabur; short IDBI Bank"
9.07 pm,2014-05-09,CNBC-TV18,"Expect industry, broader market to do well: TCS"
7.51 pm,2014-05-10,PTI,"Top-nine firms lose Rs 74,193 cr from market valuation"
8.25 pm,2014-05-11,CNBC-TV18,Opportunity lies in fallen midcap stocks: HDFC Securities
6.28 pm,2014-05-12,CNBC-TV18,"HCL Tech Q4 PAT, OPM may contract, $ revenue seen up 3.8%"
1.35 pm,2014-05-13,CNBC-TV18,Decoding Tata Group's Cyrus Mistry
11.16 am,2014-05-14,Moneycontrol.com,"Q1 earnings: Decent numbers so far, but nothing spectacular"
12.56 pm,2014-05-15,Moneycontrol.com,Buy TCS; target of Rs 2900: Sharekhan
9.26 pm,2014-05-16,CNBC-TV18,"Tata Sons FY14 revenues shrink, declares 800% dividend"
5.13 pm,2014-05-17,CNBC-TV18,"TVS Motor has trebled this year, is it still a good buy?"
3.28 pm,2014-05-18,CNBC-TV18,Expect 3-4% upside in TCS: Manish Hathiramani
3.22 pm,2014-05-19,Moneycontrol.com,Accumulate TCS; target of Rs 2789: Kotak Securities
1.49 pm,2014-05-20,Moneycontrol.com,Buy TCS; target of Rs 2900: PLilladher
12.43 pm,2014-05-21,CNBC-TV18,50% net inflows hedged; see fall in Q2 margin QoQ: Mindtree
12.30 pm,2014-05-22,CNBC-TV18,"Hexaware may rise 10-15%, prefer TCS: Kunal Bothra"
11.40 am,2014-05-23,Moneycontrol.com,TCS and SMU announce extension of SMU-TCS iCity Lab partnership
4.56 pm,2014-05-24,CNBC-TV18,"Expect upmove in TCS, buy Hexaware: Sudarshan Sukhani"
5.51 pm,2014-05-25,Moneycontrol.com,Tata Consultancy Services: Outcome of board meeting - Re-appointment of Chief Executive Officer and Managing Director
9.07 am,2014-05-26,PTI,Chinese firms to team-up with Indian firms for rail projs
6.24 pm,2014-05-27,PTI,Coal India to spend Rs 235 cr on toilets
4.14 pm,2014-05-28,PTI,12 Indian firms in Forbes' 50 best cos in Asia Pacific
4.22 pm,2014-05-29,PTI,"L&T; to build 5,000 toilets under CSR on PM's call"
3.23 pm,2014-05-30,CNBC-TV18,"Buy HUL, HPCL, TCS: Sudarshan Sukhani"
1.47 pm,2014-05-31,CNBC-TV18,"Go long in TCS, advises Ashish Chaturmohta"
3.27 pm,2014-06-01,CNBC-TV18,"Buy Dr Reddy's Labs, TCS, Apollo Hospitals: Mayuresh Joshi"
11.36 am,2014-06-02,CNBC-TV18,TCS may test Rs 2520-2540: Hemant Thukral
10.27 am,2014-06-03,CNBC-TV18,"Buy TCS, advises Sudarshan Sukhani"
5.02 pm,2014-06-04,CNBC-TV18,TCS gained 10% in Sept: Is it time to exit? Experts analyse
4.31 pm,2014-06-05,CNBC-TV18,Infosys may hit Rs 3950: Manish Hathiramani
2.49 pm,2014-06-06,CNBC-TV18,"Sell HDIL, Apollo Hospitals; buy TCS: Sudarshan Sukhani"
1.20 pm,2014-06-07,Moneycontrol.com,How euro depreciation impacts Indian companies
11.41 am,2014-06-08,CNBC-TV18,"Sell Infosys, neutral on TCS: Gautam Chhaochharia"
11.33 am,2014-06-09,CNBC-TV18,"Buy TCS on dips, says Hemant Thukral"
2.00 pm,2014-06-10,CNBC-TV18,Mindtree may go upto Rs 1300: Anu Jain
4.54 pm,2014-06-11,CNBC-TV18,"Prefer TCS, says Mehraboon Irani"
1.39 pm,2014-06-12,CNBC-TV18,Tata brand to keep benefitting its group companies: Moody's
7.17 pm,2014-06-13,PTI,Moody's upgrades ratings of Tata Group firms
1.02 pm,2014-06-14,CNBC-TV18,"Buy TCS, SBI: Sudarshan Sukhani"
11.32 am,2014-06-15,CNBC-TV18,"Buy TCS, advises Sudarshan Sukhani"
8.40 am,2014-06-16,CNBC-TV18,Super Six stocks you can bet on September 17
10.48 am,2014-06-17,CNBC-TV18,"Prefer TCS, HCL Technologies: Sagar Rastogi"
10.47 am,2014-06-18,CNBC-TV18,See more Cognizant-Trizetto like deals; prefer TCS: Ambit
8.22 am,2014-06-19,PTI,TCS opens Saudi Arabia's first all-woman BPO centre
2.06 pm,2014-06-20,PTI,"India business growing but on watch mode, says TCS"
4.40 pm,2014-06-21,CNBC-TV18,"Buy Infosys, TCS: Sudarshan Sukhani"
11.51 am,2014-06-22,Moneycontrol.com,Buy TCS; target of Rs 2900: ICICIdirect
3.52 pm,2014-06-23,CNBC-TV18,'Look East' is TCS' new business mantra
8.30 am,2014-06-24,CNBC-TV18,Difficult to beat FY14 growth in FY15: TCS
6.18 pm,2014-06-25,CNBC-TV18,CMC merger could trigger upgrade for TCS: Angel Broking
4.45 pm,2014-06-26,Moneycontrol.com,Tata Consultancy Services: Board declares second interim dividend
4.37 pm,2014-06-27,Moneycontrol.com,"TCS Q2 profit up 4.5% to Rs 5244 cr, to merge CMC with self"
3.35 pm,2014-06-28,CNBC-TV18,"TCS Q2 profit seen up 5%, dollar revenue may grow over 7%"
11.24 am,2014-06-29,Moneycontrol.com,TCS Q2 net seen up 6% at Rs 5345 cr: KR Choksey
11.20 am,2014-06-30,Moneycontrol.com,TCS Q2 PAT seen up 2.6% at Rs 5187 cr: ICICIdirect
11.16 am,2014-07-01,CNBC-TV18,"Buy TCS, advises Sudarshan Sukhani"
11.14 am,2014-07-02,CNBC-TV18,"Buy TCS, says Sudarshan Sukhani"
2.44 pm,2014-07-03,CNBC-TV18,"Buy Glenmark Pharma, PNB, TCS: Sudarshan Sukhani"
1.20 pm,2014-07-04,CNBC-TV18,"Like Infosys on better margins, mgmt remarks: Angel Broking"
4.34 pm,2014-07-05,CNBC-TV18,Add IT stocks in portfolio: Dilip Bhat
12.35 pm,2014-07-06,CNBC-TV18,See margins improving for Infosys; prefer TCS: Nomura India
11.10 am,2014-07-07,CNBC-TV18,See no change in Infosys FY15 $ guidance of 7-9%: Ambit Cap
8.26 pm,2014-07-08,Moneycontrol.com,"TCS' Q2 results on Oct 16, 2014"
12.51 pm,2014-07-09,CNBC-TV18,US may release tech contract worth USD 1.2 billion: Sources
5.18 pm,2014-07-10,CNBC-TV18,"TCS good bet, says CK Narayan"
3.05 pm,2014-07-11,CNBC-TV18,"Hold TCS, says Nooresh Merani"
8.49 am,2014-07-12,Moneycontrol.com,TCS' vice chairman S. Ramadorai retires
5.20 pm,2014-07-13,CNBC-TV18,"TCS has gained 10% this month, is it time to book profits?"
